date,tot_trucks
2020-01-01,5
2020-01-02,33
2020-01-03,27
2020-01-04,16
2020-01-05,1
2020-01-06,34
2020-01-07,31
2020-01-08,28
2020-01-09,23
2020-01-10,23
2020-01-11,13
2020-01-13,33
2020-01-14,28
2020-01-15,23
2020-01-16,27
2020-01-17,22
2020-01-18,9
2020-01-19,3
2020-01-20,30
2020-01-21,32
2020-01-22,28
2020-01-23,27
2020-01-24,32
2020-01-25,13
2020-01-26,1
2020-01-27,36
2020-01-28,29
2020-01-29,29
2020-01-30,30
2020-01-31,28
2020-02-01,16
2020-02-02,3
2020-02-03,35
2020-02-04,25
2020-02-05,24
2020-02-06,29
2020-02-07,29
2020-02-08,13
2020-02-09,3
2020-02-10,31
2020-02-11,32
2020-02-12,30
2020-02-13,37
2020-02-14,30
2020-02-15,15
2020-02-16,1
2020-02-17,33
2020-02-18,34
2020-02-19,32
2020-02-20,31
2020-02-21,29
2020-02-22,11
2020-02-23,1
2020-02-24,35
2020-02-25,31
2020-02-26,29
2020-02-27,32
2020-02-28,25
2020-02-29,15
2020-03-01,3
2020-03-02,36
2020-03-03,41
2020-03-04,36
2020-03-05,36
2020-03-06,32
2020-03-07,20
2020-03-08,1
2020-03-09,41
2020-03-10,32
2020-03-11,33
2020-03-12,33
2020-03-13,30
2020-03-14,17
2020-03-15,2
2020-03-16,35
2020-03-17,37
2020-03-18,34
2020-03-19,33
2020-03-20,31
2020-03-21,16
2020-03-22,2
2020-03-23,37
2020-03-24,30
2020-03-25,26
2020-03-26,24
2020-03-27,27
2020-03-28,23
2020-03-29,2
2020-03-30,30
2020-03-31,36
2020-04-01,36
2020-04-02,32
2020-04-03,31
2020-04-04,20
2020-04-05,1
2020-04-06,44
2020-04-07,35
2020-04-08,40
2020-04-09,36
2020-04-10,37
2020-04-11,16
2020-04-12,2
2020-04-13,41
2020-04-14,41
2020-04-15,35
2020-04-16,35
2020-04-17,34
2020-04-18,14
2020-04-19,3
2020-04-20,31
2020-04-21,31
2020-04-22,29
2020-04-23,33
2020-04-24,30
2020-04-25,21
2020-04-26,1
2020-04-27,34
2020-04-28,31
2020-04-29,28
2020-04-30,32
2020-05-01,30
2020-05-02,19
2020-05-04,37
2020-05-05,36
2020-05-06,31
2020-05-07,35
2020-05-08,29
2020-05-09,13
2020-05-10,1
2020-05-11,34
2020-05-12,31
2020-05-13,25
2020-05-14,30
2020-05-15,26
2020-05-16,15
2020-05-17,1
2020-05-18,33
2020-05-19,28
2020-05-20,31
2020-05-21,35
2020-05-22,28
2020-05-23,17
2020-05-24,3
2020-05-25,37
2020-05-26,31
2020-05-27,22
2020-05-28,36
2020-05-29,30
2020-05-30,12
2020-05-31,1
2020-06-01,35
2020-06-02,33
2020-06-03,28
2020-06-04,28
2020-06-05,28
2020-06-06,17
2020-06-07,3
2020-06-08,40
2020-06-09,36
2020-06-10,35
2020-06-11,36
2020-06-12,41
2020-06-13,14
2020-06-14,3
2020-06-15,35
2020-06-16,35
2020-06-17,33
2020-06-18,29
2020-06-19,34
2020-06-20,15
2020-06-21,1
2020-06-22,35
2020-06-23,34
2020-06-24,27
2020-06-25,31
2020-06-26,30
2020-06-27,16
2020-06-28,1
2020-06-29,34
2020-06-30,40
2020-07-01,38
2020-07-02,33
2020-07-03,29
2020-07-04,13
2020-07-05,6
2020-07-06,42
2020-07-07,38
2020-07-08,29
2020-07-09,32
2020-07-10,32
2020-07-11,12
2020-07-12,1
2020-07-13,39
2020-07-14,49
2020-07-15,32
2020-07-16,38
2020-07-17,33
2020-07-18,16
2020-07-19,4
2020-07-20,42
2020-07-21,38
2020-07-22,31
2020-07-23,38
2020-07-24,31
2020-07-25,10
2020-07-26,4
2020-07-27,32
2020-07-28,31
2020-07-29,31
2020-07-30,32
2020-07-31,34
2020-08-01,16
2020-08-02,3
2020-08-03,28
2020-08-04,31
2020-08-05,24
2020-08-06,29
2020-08-07,27
2020-08-08,8
2020-08-09,4
2020-08-10,28
2020-08-11,32
2020-08-12,28
2020-08-13,31
2020-08-14,30
2020-08-15,10
2020-08-16,5
2020-08-17,29
2020-08-18,42
2020-08-19,35
2020-08-20,35
2020-08-21,30
2020-08-22,14
2020-08-23,1
2020-08-24,36
2020-08-25,38
2020-08-26,28
2020-08-27,31
2020-08-28,29
2020-08-29,15
2020-08-30,6
2020-08-31,33
2020-09-01,34
2020-09-02,31
2020-09-03,34
2020-09-04,31
2020-09-05,13
2020-09-06,1
2020-09-07,36
2020-09-08,44
2020-09-09,32
2020-09-10,37
2020-09-11,38
2020-09-12,21
2020-09-13,3
2020-09-14,33
2020-09-15,43
2020-09-16,30
2020-09-17,40
2020-09-18,31
2020-09-19,14
2020-09-20,4
2020-09-21,30
2020-09-22,35
2020-09-23,31
2020-09-24,36
2020-09-25,35
2020-09-26,12
2020-09-27,3
2020-09-28,27
2020-09-29,32
2020-09-30,36
2020-10-01,31
2020-10-02,33
2020-10-03,14
2020-10-04,2
2020-10-05,32
2020-10-06,36
2020-10-07,34
2020-10-08,36
2020-10-09,33
2020-10-10,9
2020-10-11,1
2020-10-12,37
2020-10-13,39
2020-10-14,30
2020-10-15,32
2020-10-16,31
2020-10-17,14
2020-10-18,1
2020-10-19,31
2020-10-20,30
2020-10-21,32
2020-10-22,31
2020-10-24,6
2020-10-25,1
2020-10-26,32
2020-10-27,41
2020-10-28,31
2020-10-29,32
2020-10-30,27
2020-10-31,7
2020-11-01,1
2020-11-02,27
2020-11-03,38
2020-11-04,37
2020-11-05,40
2020-11-06,32
2020-11-07,9
2020-11-08,3
2020-11-09,29
2020-11-10,36
2020-11-11,36
2020-11-12,33
2020-11-13,31
2020-11-14,12
2020-11-15,2
2020-11-16,34
2020-11-17,35
2020-11-18,37
2020-11-19,36
2020-11-20,30
2020-11-21,15
2020-11-22,3
2020-11-23,32
2020-11-24,35
2020-11-25,30
2020-11-26,35
2020-11-27,32
2020-11-28,12
2020-11-29,2
2020-11-30,31
2020-12-01,33
2020-12-02,27
2020-12-03,36
2020-12-04,32
2020-12-05,12
2020-12-06,4
2020-12-07,29
2020-12-08,41
2020-12-09,31
2020-12-10,42
2020-12-11,34
2020-12-12,17
2020-12-13,3
2020-12-14,33
2020-12-15,39
2020-12-16,30
2020-12-17,37
2020-12-18,33
2020-12-19,13
2020-12-20,8
2020-12-21,36
2020-12-22,36
2020-12-23,32
2020-12-24,33
2020-12-25,16
2020-12-26,10
2020-12-27,10
2020-12-28,34
2020-12-29,38
