date,tot_trucks
2020-01-01,8
2020-01-02,39
2020-01-03,37
2020-01-04,16
2020-01-05,4
2020-01-06,39
2020-01-07,39
2020-01-08,33
2020-01-09,32
2020-01-10,32
2020-01-11,16
2020-01-12,1
2020-01-13,39
2020-01-14,30
2020-01-15,28
2020-01-16,31
2020-01-17,27
2020-01-18,11
2020-01-19,5
2020-01-20,37
2020-01-21,36
2020-01-22,33
2020-01-23,35
2020-01-24,33
2020-01-25,13
2020-01-26,5
2020-01-27,42
2020-01-28,32
2020-01-29,33
2020-01-30,34
2020-01-31,38
2020-02-01,18
2020-02-02,6
2020-02-03,41
2020-02-04,33
2020-02-05,28
2020-02-06,35
2020-02-07,35
2020-02-08,17
2020-02-09,4
2020-02-10,34
2020-02-11,32
2020-02-12,35
2020-02-13,38
2020-02-14,34
2020-02-15,21
2020-02-16,4
2020-02-17,42
2020-02-18,46
2020-02-19,36
2020-02-20,35
2020-02-21,32
2020-02-22,12
2020-02-23,2
2020-02-24,39
2020-02-25,39
2020-02-26,34
2020-02-27,34
2020-02-28,32
2020-02-29,15
2020-03-01,4
2020-03-02,42
2020-03-03,43
2020-03-04,39
2020-03-05,42
2020-03-06,37
2020-03-07,20
2020-03-08,3
2020-03-09,49
2020-03-10,37
2020-03-11,37
2020-03-12,35
2020-03-13,34
2020-03-14,21
2020-03-15,5
2020-03-16,44
2020-03-17,44
2020-03-18,42
2020-03-19,36
2020-03-20,37
2020-03-21,19
2020-03-22,6
2020-03-23,44
2020-03-24,33
2020-03-25,30
2020-03-26,27
2020-03-27,36
2020-03-28,23
2020-03-29,6
2020-03-30,44
2020-03-31,42
2020-04-01,37
2020-04-02,38
2020-04-03,36
2020-04-04,24
2020-04-05,4
2020-04-06,50
2020-04-07,43
2020-04-08,44
2020-04-09,44
2020-04-10,42
2020-04-11,17
2020-04-12,4
2020-04-13,52
2020-04-14,46
2020-04-15,33
2020-04-16,36
2020-04-17,38
2020-04-18,19
2020-04-19,7
2020-04-20,39
2020-04-21,34
2020-04-22,33
2020-04-23,39
2020-04-24,39
2020-04-25,22
2020-04-26,4
2020-04-27,46
2020-04-28,42
2020-04-29,33
2020-04-30,41
2020-05-01,37
2020-05-02,22
2020-05-03,3
2020-05-04,45
2020-05-05,45
2020-05-06,31
2020-05-07,42
2020-05-08,40
2020-05-09,15
2020-05-10,4
2020-05-11,42
2020-05-12,35
2020-05-13,29
2020-05-14,34
2020-05-15,34
2020-05-16,15
2020-05-17,5
2020-05-18,43
2020-05-19,35
2020-05-20,35
2020-05-21,42
2020-05-22,35
2020-05-23,19
2020-05-24,3
2020-05-25,39
2020-05-26,35
2020-05-27,24
2020-05-28,40
2020-05-29,34
2020-05-30,15
2020-05-31,5
2020-06-01,39
2020-06-02,39
2020-06-03,30
2020-06-04,34
2020-06-05,37
2020-06-06,20
2020-06-07,4
2020-06-08,46
2020-06-09,44
2020-06-10,40
2020-06-11,39
2020-06-12,43
2020-06-13,16
2020-06-14,6
2020-06-15,43
2020-06-16,37
2020-06-17,35
2020-06-18,34
2020-06-19,38
2020-06-20,18
2020-06-21,5
2020-06-22,40
2020-06-23,35
2020-06-24,33
2020-06-25,32
2020-06-26,34
2020-06-27,16
2020-06-28,5
2020-06-29,42
2020-06-30,46
2020-07-01,39
2020-07-02,40
2020-07-03,31
2020-07-04,17
2020-07-05,4
2020-07-06,51
2020-07-07,46
2020-07-08,33
2020-07-09,41
2020-07-10,36
2020-07-11,18
2020-07-12,3
2020-07-13,48
2020-07-14,50
2020-07-15,33
2020-07-16,39
2020-07-17,36
2020-07-18,18
2020-07-19,3
2020-07-20,48
2020-07-21,45
2020-07-22,34
2020-07-23,44
2020-07-24,38
2020-07-25,11
2020-07-26,5
2020-07-27,42
2020-07-28,44
2020-07-29,36
2020-07-30,38
2020-07-31,36
2020-08-01,16
2020-08-02,5
2020-08-03,34
2020-08-04,36
2020-08-05,28
2020-08-06,31
2020-08-07,33
2020-08-08,10
2020-08-09,6
2020-08-10,36
2020-08-11,39
2020-08-12,31
2020-08-13,35
2020-08-14,32
2020-08-15,13
2020-08-16,5
2020-08-17,35
2020-08-18,47
2020-08-19,41
2020-08-20,39
2020-08-21,34
2020-08-22,16
2020-08-23,3
2020-08-24,44
2020-08-25,41
2020-08-26,29
2020-08-27,35
2020-08-28,34
2020-08-29,17
2020-08-30,7
2020-08-31,41
2020-09-01,36
2020-09-02,31
2020-09-03,36
2020-09-04,33
2020-09-05,13
2020-09-06,5
2020-09-07,39
2020-09-08,49
2020-09-09,35
2020-09-10,40
2020-09-11,37
2020-09-12,19
2020-09-13,4
